,Unnamed: 0,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
134,134,Ahmedabad,2015-05-15,129.27,118.12710293078102,14.28,28.33,41.92,23.483476019371977,14.28,70.13,25.4,16.9,44.19,4.97,327.0,Very Poor
139,139,Ahmedabad,2015-05-20,42.0,118.12710293078102,10.44,18.16,21.8,23.483476019371977,10.44,17.0,25.5,0.0,0.0,0.0,162.0,Moderate
141,141,Ahmedabad,2015-05-22,83.69,118.12710293078102,10.89,17.18,27.15,23.483476019371977,10.89,41.12,35.61,12.62,20.2,17.84,569.0,Severe
142,142,Ahmedabad,2015-05-23,38.88,118.12710293078102,2.18,16.28,17.74,23.483476019371977,2.18,26.4,12.47,3.0,6.96,6.37,128.0,Moderate
143,143,Ahmedabad,2015-05-24,46.89,118.12710293078102,2.96,16.17,18.49,23.483476019371977,2.96,41.96,10.74,3.41,8.87,3.53,129.0,Moderate
146,146,Ahmedabad,2015-05-27,45.49,118.12710293078102,4.26,13.73,17.1,23.483476019371977,4.26,12.85,71.85,2.5,5.96,3.36,167.0,Moderate
150,150,Ahmedabad,2015-05-31,57.59,118.12710293078102,5.6,15.47,20.42,23.483476019371977,5.6,41.68,25.51,2.64,6.3,3.08,174.0,Moderate
157,157,Ahmedabad,2015-06-07,80.69,118.12710293078102,6.86,16.07,22.25,23.483476019371977,6.86,39.85,32.65,0.0,0.0,0.0,192.0,Moderate
158,158,Ahmedabad,2015-06-08,44.75,118.12710293078102,7.76,16.53,24.29,23.483476019371977,7.76,9.89,8.07,0.0,0.0,0.0,191.0,Moderate
159,159,Ahmedabad,2015-06-09,38.11,118.12710293078102,7.41,11.62,19.03,23.483476019371977,7.41,3.13,6.69,2.5,5.93,0.74,184.0,Moderate
162,162,Ahmedabad,2015-06-12,43.58,118.12710293078102,8.26,13.33,21.58,23.483476019371977,8.26,1.02,7.56,3.59,6.79,1.5,226.0,Poor
163,163,Ahmedabad,2015-06-13,45.49,118.12710293078102,9.63,14.91,24.53,23.483476019371977,9.63,0.81,2.94,3.67,6.62,1.17,251.0,Poor
165,165,Ahmedabad,2015-06-15,45.41,118.12710293078102,9.35,20.55,29.9,23.483476019371977,9.35,0.74,4.5,2.83,7.18,0.82,237.0,Poor
166,166,Ahmedabad,2015-06-16,37.71,118.12710293078102,8.54,16.26,24.8,23.483476019371977,8.54,0.87,4.6,2.52,7.61,0.81,198.0,Moderate
169,169,Ahmedabad,2015-06-19,32.56,118.12710293078102,7.34,13.91,21.25,23.483476019371977,7.34,4.04,11.85,2.55,9.3,0.97,181.0,Moderate
170,170,Ahmedabad,2015-06-20,29.28,118.12710293078102,7.55,11.68,19.23,23.483476019371977,7.55,4.01,12.64,1.64,7.0,0.62,179.0,Moderate
177,177,Ahmedabad,2015-06-27,62.61,118.12710293078102,9.15,9.83,18.98,23.483476019371977,9.15,12.31,6.44,1.87,5.47,0.37,231.0,Poor
178,178,Ahmedabad,2015-06-28,47.5,118.12710293078102,8.07,9.53,17.59,23.483476019371977,8.07,13.91,7.28,1.34,3.97,0.12,196.0,Moderate
179,179,Ahmedabad,2015-06-29,111.8,118.12710293078102,9.23,11.51,20.74,23.483476019371977,9.23,5.27,5.99,1.84,5.69,0.28,220.0,Poor
180,180,Ahmedabad,2015-06-30,30.0,118.12710293078102,8.87,13.59,22.64,23.483476019371977,8.87,8.09,6.31,1.32,4.59,0.16,244.0,Poor
181,181,Ahmedabad,2015-07-01,4.66,118.12710293078102,9.01,10.9,20.36,23.483476019371977,9.01,7.31,6.38,1.27,3.94,0.13,223.0,Poor
185,185,Ahmedabad,2015-07-05,47.43,118.12710293078102,8.11,9.45,17.56,23.483476019371977,8.11,7.93,7.08,2.1,3.6,0.13,199.0,Moderate
187,187,Ahmedabad,2015-07-07,42.68,118.12710293078102,9.74,11.08,20.82,23.483476019371977,9.74,10.87,4.44,1.62,4.96,0.39,226.0,Poor
189,189,Ahmedabad,2015-07-09,46.69,118.12710293078102,11.48,0.17,11.64,23.483476019371977,11.48,10.25,5.76,1.77,4.34,0.15,222.0,Poor
190,190,Ahmedabad,2015-07-10,55.27,118.12710293078102,11.55,0.12,11.66,23.483476019371977,11.55,12.7,6.55,1.69,4.17,0.22,223.0,Poor
195,195,Ahmedabad,2015-07-15,51.35,118.12710293078102,8.0,2.69,10.67,23.483476019371977,8.0,10.0,5.76,1.54,4.32,0.35,223.0,Poor
196,196,Ahmedabad,2015-07-16,65.37,118.12710293078102,0.64,8.07,8.57,23.483476019371977,0.64,16.31,8.02,1.63,4.34,0.28,105.0,Moderate
197,197,Ahmedabad,2015-07-17,56.28,118.12710293078102,0.6,8.02,8.51,23.483476019371977,0.6,18.93,6.2,1.52,3.74,0.29,101.0,Moderate
200,200,Ahmedabad,2015-07-20,31.3,118.12710293078102,0.55,8.1,8.49,23.483476019371977,0.55,10.29,7.44,0.52,2.31,0.06,60.0,Satisfactory
201,201,Ahmedabad,2015-07-21,48.12,118.12710293078102,0.67,7.9,8.43,23.483476019371977,0.67,1.28,6.3,5.0,21.75,1.54,166.4635814889336,Moderate
203,203,Ahmedabad,2015-07-23,34.72,118.12710293078102,0.1,9.73,7.88,23.483476019371977,0.1,13.62,4.87,1.44,5.22,0.38,78.0,Satisfactory
205,205,Ahmedabad,2015-07-25,29.79,118.12710293078102,0.14,8.64,7.97,23.483476019371977,0.14,15.11,5.34,0.36,1.05,0.14,53.0,Satisfactory
208,208,Ahmedabad,2015-07-28,19.52,118.12710293078102,5.89,11.26,17.15,23.483476019371977,5.89,11.56,4.4,0.58,1.44,0.07,157.0,Moderate
210,210,Ahmedabad,2015-07-30,33.03,118.12710293078102,7.01,10.58,17.58,23.483476019371977,7.01,12.95,3.53,1.65,3.96,0.37,169.0,Moderate
212,212,Ahmedabad,2015-08-01,40.29,118.12710293078102,6.74,10.52,17.26,23.483476019371977,6.74,8.27,3.57,1.85,4.34,0.39,173.0,Moderate
221,221,Ahmedabad,2015-08-10,38.64,118.12710293078102,7.35,20.21,27.55,23.483476019371977,7.35,9.74,6.28,1.31,2.8,0.27,174.0,Moderate
223,223,Ahmedabad,2015-08-12,41.37,118.12710293078102,7.47,20.2,27.68,23.483476019371977,7.47,11.73,19.8,1.82,2.85,0.17,179.0,Moderate
237,237,Ahmedabad,2015-08-26,36.36,118.12710293078102,17.11,14.79,31.9,23.483476019371977,17.11,8.86,77.3,0.0,0.0,0.06,302.0,Very Poor
242,242,Ahmedabad,2015-08-31,43.2,118.12710293078102,17.05,14.86,31.91,23.483476019371977,17.05,5.96,59.99,0.0,0.0,0.11,302.0,Very Poor
243,243,Ahmedabad,2015-09-01,63.2,118.12710293078102,17.03,14.82,31.85,23.483476019371977,17.03,3.69,7.57,0.0,0.0,0.0,302.0,Very Poor
245,245,Ahmedabad,2015-09-03,65.28,118.12710293078102,17.04,14.85,31.89,23.483476019371977,17.04,6.13,18.2,0.0,0.0,0.0,301.0,Very Poor
252,252,Ahmedabad,2015-09-10,50.24,118.12710293078102,9.46,12.31,21.77,23.483476019371977,9.46,11.63,13.61,0.0,3.42,0.29,226.0,Poor
255,255,Ahmedabad,2015-09-13,43.01,118.12710293078102,6.82,9.96,16.78,23.483476019371977,6.82,11.58,20.59,0.0,2.5,0.13,179.0,Moderate
257,257,Ahmedabad,2015-09-15,44.94,118.12710293078102,7.14,10.94,18.07,23.483476019371977,7.14,5.85,59.38,0.0,2.21,0.24,229.0,Poor
259,259,Ahmedabad,2015-09-17,32.15,118.12710293078102,6.5,9.7,16.2,23.483476019371977,6.5,9.2,39.02,0.0,2.73,0.19,164.0,Moderate
260,260,Ahmedabad,2015-09-18,36.33,118.12710293078102,7.68,12.88,20.56,23.483476019371977,7.68,8.28,43.35,0.0,4.29,0.36,195.0,Moderate
262,262,Ahmedabad,2015-09-20,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
264,264,Ahmedabad,2015-09-22,59.29,118.12710293078102,9.21,9.68,18.89,23.483476019371977,9.21,5.98,7.69,0.0,3.24,0.19,217.0,Poor
266,266,Ahmedabad,2015-09-24,47.39,118.12710293078102,9.26,10.48,19.74,23.483476019371977,9.26,7.72,7.71,0.0,3.41,0.21,241.0,Poor
273,273,Ahmedabad,2015-10-01,76.41,118.12710293078102,17.96,34.7,52.67,23.483476019371977,17.96,15.44,31.49,0.0,7.51,1.15,396.0,Very Poor
274,274,Ahmedabad,2015-10-02,102.49,118.12710293078102,33.31,37.85,71.17,23.483476019371977,33.31,27.32,24.85,19.81,51.29,15.05,731.0,Severe
275,275,Ahmedabad,2015-10-03,127.94,118.12710293078102,11.14,28.38,39.52,23.483476019371977,11.14,25.59,15.17,8.14,29.23,3.24,466.0,Severe
279,279,Ahmedabad,2015-10-07,92.12,118.12710293078102,18.21,32.5,50.71,23.483476019371977,18.21,31.75,29.97,6.26,26.4,4.3,397.0,Very Poor
280,280,Ahmedabad,2015-10-08,94.02,118.12710293078102,27.14,36.97,64.11,23.483476019371977,27.14,24.88,23.51,10.85,41.2,6.14,517.0,Severe
282,282,Ahmedabad,2015-10-10,118.91,118.12710293078102,5.42,29.22,34.64,23.483476019371977,5.42,79.47,24.89,6.23,12.93,1.74,355.0,Very Poor
285,285,Ahmedabad,2015-10-13,137.87,118.12710293078102,20.2,32.98,53.18,23.483476019371977,20.2,21.89,17.41,12.76,39.39,12.08,536.0,Severe
287,287,Ahmedabad,2015-10-15,108.68,118.12710293078102,17.03,32.87,49.9,23.483476019371977,17.03,22.59,19.56,12.47,51.84,7.46,551.0,Severe
289,289,Ahmedabad,2015-10-17,145.75,118.12710293078102,20.61,34.71,55.33,23.483476019371977,20.61,24.66,95.94,20.08,51.51,7.31,671.0,Severe
290,290,Ahmedabad,2015-10-18,179.43,118.12710293078102,52.33,39.42,91.75,23.483476019371977,52.33,39.15,112.01,31.75,102.65,14.97,969.0,Severe
293,293,Ahmedabad,2015-10-21,92.71,118.12710293078102,12.92,30.65,43.57,23.483476019371977,12.92,42.08,72.86,13.33,17.97,5.17,166.4635814889336,Moderate
294,294,Ahmedabad,2015-10-22,64.66,118.12710293078102,4.79,23.83,28.61,23.483476019371977,4.79,34.4,24.76,6.24,12.04,2.24,213.0,Poor
300,300,Ahmedabad,2015-10-28,89.64,118.12710293078102,5.42,25.75,31.18,23.483476019371977,5.42,44.92,43.04,6.48,17.42,2.14,270.0,Poor
302,302,Ahmedabad,2015-10-30,54.59,118.12710293078102,2.31,18.33,20.64,23.483476019371977,2.31,19.08,42.43,3.47,10.25,1.12,114.0,Moderate
307,307,Ahmedabad,2015-11-04,214.67,118.12710293078102,57.37,42.21,99.57,23.483476019371977,57.37,22.18,34.49143047551808,41.22,93.71,13.41,166.4635814889336,Moderate
312,312,Ahmedabad,2015-11-09,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
313,313,Ahmedabad,2015-11-10,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
316,316,Ahmedabad,2015-11-13,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
321,321,Ahmedabad,2015-11-18,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
324,324,Ahmedabad,2015-11-21,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
325,325,Ahmedabad,2015-11-22,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
326,326,Ahmedabad,2015-11-23,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
327,327,Ahmedabad,2015-11-24,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
328,328,Ahmedabad,2015-11-25,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
331,331,Ahmedabad,2015-11-28,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
332,332,Ahmedabad,2015-11-29,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
342,342,Ahmedabad,2015-12-09,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
344,344,Ahmedabad,2015-12-11,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
348,348,Ahmedabad,2015-12-15,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
352,352,Ahmedabad,2015-12-19,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
354,354,Ahmedabad,2015-12-21,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
357,357,Ahmedabad,2015-12-24,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
368,368,Ahmedabad,2016-01-04,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
369,369,Ahmedabad,2016-01-05,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
370,370,Ahmedabad,2016-01-06,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
371,371,Ahmedabad,2016-01-07,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
372,372,Ahmedabad,2016-01-08,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
379,379,Ahmedabad,2016-01-15,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
384,384,Ahmedabad,2016-01-20,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
388,388,Ahmedabad,2016-01-24,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
391,391,Ahmedabad,2016-01-27,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
393,393,Ahmedabad,2016-01-29,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
395,395,Ahmedabad,2016-01-31,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
400,400,Ahmedabad,2016-02-05,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
403,403,Ahmedabad,2016-02-08,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
404,404,Ahmedabad,2016-02-09,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
409,409,Ahmedabad,2016-02-14,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
410,410,Ahmedabad,2016-02-15,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
412,412,Ahmedabad,2016-02-17,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
416,416,Ahmedabad,2016-02-21,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
417,417,Ahmedabad,2016-02-22,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
418,418,Ahmedabad,2016-02-23,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
425,425,Ahmedabad,2016-03-01,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
431,431,Ahmedabad,2016-03-07,67.45057794890272,118.12710293078102,17.574729662029284,28.56065906112677,32.30912333307005,23.483476019371977,2.2485982090855985,14.53197725591,34.49143047551808,3.2808403045005514,8.700972080037232,3.0701278234985114,166.4635814889336,Moderate
